Src,Dst,Time
0,1,1082040961
2,3,1082155839
4,1,1082414391
8,10,1082440453
8,13,1082441754
8,14,1082441824
8,15,1082442153
8,13,1082442328
8,16,1082442560
17,19,1082450074
7,20,1082450243
8,19,1082450656
23,24,1082490240
25,21,1082504083
26,27,1082517513
26,27,1082517516
28,29,1082518023
30,29,1082525718
32,33,1082530949
34,35,1082538849
37,14,1082540305
37,10,1082540354
37,12,1082540496
8,36,1082583700
41,19,1082587705
40,41,1082588222
42,41,1082588508
43,41,1082589483
32,44,1082597715
32,49,1082598545
50,51,1082598548
40,13,1082599072
56,44,1082600409
28,53,1082601455
32,54,1082601872
32,44,1082601913
37,57,1082602619
37,58,1082602668
37,59,1082602682
37,50,1082602700
37,55,1082602761
37,39,1082602778
37,52,1082602838
37,53,1082603068
11,60,1082603219
28,52,1082603266
61,28,1082603514
61,28,1082603649
28,62,1082603681
61,28,1082603868
61,28,1082604079
63,61,1082605390
64,45,1082607167
40,44,1082607289
61,28,1082608354
65,66,1082608481
67,68,1082609913
30,52,1082610114
40,69,1082610241
8,52,1082610294
37,70,1082612106
37,73,1082612618
72,52,1082612664
37,74,1082612672
72,64,1082612947
17,58,1082613910
17,52,1082614030
76,53,1082614460
34,52,1082614831
40,77,1082617666
17,66,1082618294
2,77,1082619042
17,7,1082619196
17,52,1082619271
79,43,1082620231
80,57,1082620509
80,7,1082620950
83,50,1082621402
84,85,1082621575
32,83,1082621841
45,52,1082622812
87,77,1082622904
87,77,1082623664
63,77,1082623764
63,88,1082623795
80,7,1082624060
2,77,1082624449
43,79,1082625217
77,7,1082626287
89,81,1082627395
7,77,1082628373
77,7,1082629290
90,91,1082630411
92,7,1082630846
93,94,1082631193
90,95,1082631611
43,52,1082632034
96,52,1082635445
97,53,1082637597
98,50,1082653516
99,66,1082653683
98,55,1082653966
98,74,1082655250
32,98,1082659317
32,97,1082659895
30,101,1082660743
32,102,1082660940
72,101,1082663507
50,98,1082664609
50,62,1082664651
25,52,1082665970
40,107,1082666706
89,28,1082669430
109,93,1082670352
110,111,1082670704
111,110,1082670775
111,69,1082670850
111,110,1082670972
68,67,1082671401
109,111,1082671996
112,100,1082672486
40,85,1082673531
22,113,1082673946
0,114,1082676222
116,117,1082677532
32,97,1082678664
32,115,1082680998
32,118,1082681628
40,72,1082681912
40,120,1082682026
72,52,1082682731
32,101,1082683846
115,101,1082683974
115,55,1082684222
32,101,1082684927
115,78,1082685511
28,121,1082685691
32,104,1082685725
66,115,1082686656
115,7,1082686913
122,26,1082687241
96,108,1082689139
96,66,1082689523
122,26,1082691496
63,88,1082692186
123,26,1082692234
32,124,1082692612
32,124,1082692929
32,74,1082693082
96,126,1082693580
96,126,1082693727
124,126,1082693958
96,126,1082694074
126,124,1082694080
56,127,1082699464
128,129,1082701057
40,83,1082701470
128,129,1082701493
17,130,1082701903
40,54,1082702454
40,95,1082702617
17,103,1082702679
8,28,1082702909
40,83,1082703058
96,57,1082703442
34,79,1082703540
34,94,1082705563
34,94,1082705768
69,111,1082706737
40,68,1082707557
17,75,1082710304
17,75,1082710723
115,126,1082711051
98,52,1082711115
98,57,1082711129
17,75,1082711132
98,55,1082711211
98,126,1082711395
115,126,1082711713
126,115,1082712846
8,28,1082712981
133,52,1082713344
135,92,1082714081
135,98,1082714222
96,101,1082715683
96,57,1082715865
96,57,1082716576
88,74,1082716899
88,57,1082716951
136,88,1082717081
88,101,1082717085
136,88,1082717511
136,43,1082717714
136,43,1082717856
88,101,1082717927
89,43,1082718139
88,101,1082718272
89,88,1082718708
89,43,1082718758
89,88,1082718927
98,135,1082720154
5,137,1082721036
40,54,1082741603
105,98,1082745481
32,98,1082745815
32,101,1082745893
17,111,1082747959
8,139,1082749071
8,140,1082749129
8,141,1082749262
8,142,1082749354
8,52,1082749391
8,52,1082749400
8,126,1082749423
8,7,1082749542
8,143,1082749637
8,112,1082749757
2,144,1082750637
2,144,1082750830
2,52,1082751801
32,145,1082756670
94,45,1082758516
8,7,1082758968
8,70,1082761826
8,7,1082762055
8,146,1082762898
8,52,1082763674
98,126,1082768279
98,120,1082768355
40,120,1082768576
45,94,1082768729
0,148,1082768765
40,120,1082770436
149,66,1082772499
32,98,1082773798
32,120,1082773829
8,7,1082773864
30,94,1082777620
152,66,1082780126
37,70,1082782364
37,146,1082782564
37,157,1082782632
50,143,1082782821
50,158,1082782896
50,159,1082782914
50,160,1082782926
96,94,1082783260
28,121,1082783508
7,52,1082784142
7,153,1082784235
96,57,1082784982
28,22,1082786041
89,152,1082787361
8,52,1082787836
8,18,1082788102
8,154,1082788143
96,101,1082789132
28,144,1082789253
163,44,1082789421
96,78,1082789902
115,101,1082789993
153,7,1082790172
34,119,1082790887
96,57,1082790969
96,57,1082791077
96,57,1082791153
150,153,1082791168
96,57,1082791336
164,57,1082791356
37,57,1082791358
164,57,1082791450
37,57,1082791516
150,57,1082791575
28,153,1082791592
37,57,1082791645
164,57,1082791703
150,57,1082791719
37,165,1082791770
153,166,1082791796
153,165,1082791813
164,57,1082791866
28,167,1082791920
37,57,1082791939
37,57,1082792059
150,57,1082792170
37,165,1082792495
37,165,1082792551
150,57,1082792625
28,165,1082792629
37,165,1082792639
37,168,1082792771
28,165,1082792854
37,168,1082792912
168,165,1082793094
37,165,1082793174
37,57,1082793357
37,168,1082793490
37,165,1082793526
165,168,1082793622
165,28,1082793670
37,168,1082793700
37,165,1082793755
37,168,1082793760
28,165,1082793781
37,57,1082793787
165,28,1082794244
163,28,1082794283
28,163,1082794329
37,157,1082794637
37,165,1082794645
165,28,1082794657
162,57,1082794697
28,163,1082794790
57,162,1082794802
162,57,1082794833
37,157,1082794838
8,28,1082794860
37,165,1082794873
28,163,1082795011
37,165,1082795074
57,144,1082795137
165,28,1082795176
57,162,1082795293
37,165,1082795418
37,157,1082796000
37,165,1082796028
37,157,1082796413
37,165,1082796748
37,173,1082797151
173,138,1082797326
173,28,1082797493
37,173,1082797560
37,165,1082797577
28,173,1082797717
131,173,1082797734
144,28,1082797735
28,144,1082797758
173,174,1082797791
96,165,1082798009
175,174,1082798153
37,173,1082798456
37,174,1082798529
173,57,1082798706
57,144,1082798883
96,52,1082799018
96,176,1082799336
177,163,1082799395
131,173,1082799492
175,174,1082799495
173,101,1082799513
131,173,1082799813
177,7,1082800356
95,90,1082800359
94,93,1082801641
94,178,1082802260
179,163,1082802278
94,178,1082802311
94,178,1082802380
94,178,1082802402
96,180,1082802453
94,178,1082802514
94,178,1082802568
94,178,1082802619
94,178,1082802655
94,178,1082802667
181,140,1082802716
94,93,1082802726
94,178,1082802819
94,178,1082802827
94,178,1082802914
96,101,1082803230
37,180,1082804389
182,140,1082805529
164,18,1082807759
164,111,1082807785
164,123,1082807790
164,66,1082807847
164,52,1082807851
164,184,1082808059
164,185,1082808067
164,186,1082808071
164,188,1082808097
164,189,1082808108
164,173,1082808113
164,190,1082808118
164,168,1082808131
164,165,1082808145
191,97,1082813753
177,135,1082814588
2,28,1082833362
57,173,1082833784
57,187,1082833945
57,172,1082833992
187,94,1082834275
182,187,1082835672
191,114,1082836027
112,179,1082836177
163,179,1082836204
191,120,1082836225
57,187,1082836274
179,112,1082838759
179,163,1082838772
96,165,1082838861
187,193,1082839321
94,172,1082839444
32,98,1082839806
32,193,1082839951
172,94,1082840457
193,187,1082840582
187,193,1082840800
164,94,1082844137
194,94,1082846758
196,197,1082848269
96,101,1082848309
57,187,1082848571
96,197,1082848718
96,157,1082848828
197,61,1082848903
96,197,1082848932
37,197,1082848944
37,198,1082848965
96,118,1082849042
164,199,1082849417
164,198,1082849439
164,200,1082849598
96,101,1082849766
201,115,1082850049
17,101,1082850176
96,50,1082851082
96,50,1082851231
57,118,1082851434
45,197,1082851605
17,101,1082851910
40,196,1082851949
40,196,1082852211
17,197,1082852382
40,196,1082852820
17,197,1082853180
96,163,1082853216
196,163,1082853229
17,197,1082853352
197,45,1082853455
17,197,1082853560
89,28,1082853843
89,153,1082853870
135,173,1082854319
96,157,1082854425
202,196,1082854426
96,163,1082854853
96,163,1082854944
163,196,1082854961
96,163,1082855027
96,163,1082855142
164,203,1082855702
2,28,1082856808
204,111,1082856866
37,205,1082857909
37,90,1082858249
37,125,1082858396
32,204,1082858527
195,60,1082858779
89,206,1082859059
163,196,1082859471
207,205,1082859852
32,203,1082859885
164,208,1082859961
203,150,1082859979
32,203,1082859994
50,196,1082860934
150,203,1082861739
203,150,1082862258
191,203,1082862650
209,22,1082862781
196,94,1082864167
211,212,1082864976
202,196,1082866000
96,60,1082866401
96,173,1082867662
57,189,1082867948
96,86,1082868321
8,214,1082870312
96,214,1082870381
8,90,1082870627
8,178,1082870736
63,30,1082872324
63,30,1082872358
216,179,1082872392
37,155,1082873861
37,28,1082873924
2,28,1082874683
0,26,1082875165
37,161,1082875666
57,118,1082877117
57,187,1082877436
96,155,1082877744
57,85,1082878073
90,210,1082878605
96,52,1082880535
179,127,1082881208
28,52,1082881660
122,26,1082882503
179,217,1082882528
8,216,1082882811
94,30,1082882856
163,196,1082883270
8,94,1082883520
43,163,1082883835
43,46,1082883971
8,165,1082884190
8,163,1082884244
37,28,1082884511
8,163,1082884570
8,163,1082884947
43,163,1082885487
11,163,1082885665
11,157,1082885702
11,163,1082885727
43,46,1082885813
11,163,1082885851
163,43,1082885995
11,163,1082886030
11,163,1082886054
43,46,1082886157
11,163,1082886172
11,163,1082886351
163,43,1082886450
46,43,1082886469
11,163,1082886587
11,163,1082886610
81,202,1082886688
43,163,1082886740
46,43,1082886858
163,43,1082887056
11,163,1082887127
8,163,1082887137
43,46,1082887232
8,163,1082887269
163,43,1082887307
8,193,1082887307
96,46,1082887532
11,163,1082887549
96,60,1082887567
163,43,1082887579
46,43,1082887603
11,163,1082887678
43,46,1082887827
163,43,1082887958
43,163,1082888015
43,163,1082888041
163,43,1082888220
8,163,1082888339
135,173,1082888413
163,43,1082888524
202,43,1082888536
202,43,1082888735
163,43,1082888740
202,43,1082888751
202,43,1082888917
43,163,1082888920
202,43,1082889113
135,183,1082889149
